"","shift","region","count"
"1","1",1,5
"2","1",3,1
"3","1",4,37
"4","1",5,494
"5","1",6,2076
"6","1",7,111
"7","1",8,189
"8","1",9,166
"9","1",10,184
"10","1",11,4094
"11","1",12,8768
"12","1",13,22597
"13","1",14,18802
"14","1",15,24056
"15","1",16,27336
"16","1",17,167693
"17","1",18,32954
"18","1",19,65578
"19","1",20,59550
"20","1",21,29646
"21","1",22,19081
"22","1",23,14254
"23","1",24,3345
"24","1",25,7081
"25","1",26,13125
"26","1",27,4693
"27","1",28,5786
"28","1",29,10549
"29","1",30,2156
"30","1",31,1
"31","1",32,1
"32","1",35,1
"33","1",36,1
"34","1",37,2
"35","1",38,6
"36","1",39,5
"37","1",40,2
"38","1",41,2
"39","1",42,5
"40","1",43,42
"41","1",44,944
"42","1",45,6239
"43","1",46,3664
"44","1",47,10910
"45","1",48,3732
"46","1",49,5054
"47","1",50,4754
"48","1",51,1491
"49","1",52,10753
"50","1",53,11649
"51","1",54,7550
"52","1",55,1807
"53","1",56,3679
"54","1",57,3411
"55","1",58,1194
"56","1",59,32
"57","1",60,27
"58","1",63,1
"59","1",67,2
"60","1",68,1
"61","1",74,1
"62","1",75,4
"63","1",76,8
"64","1",77,6
"65","1",79,5
"66","1",80,5
"67","1",81,2
"68","1",82,2
"69","1",83,1
"70","1",85,7
"71","1",86,1
"72","1",88,3
"73","1",97,2
"74","1",99,1
"75","1",102,1
"76","1",105,1
"77","1",106,7
"78","1",112,1
"79","1",120,1
"80","1",148,1
"81","1",NA,351
"82","2",1,1
"83","2",2,1
"84","2",3,2
"85","2",4,20
"86","2",5,379
"87","2",6,1373
"88","2",7,69
"89","2",8,124
"90","2",9,69
"91","2",10,114
"92","2",11,4007
"93","2",12,8555
"94","2",13,19470
"95","2",14,18225
"96","2",15,23581
"97","2",16,22464
"98","2",17,154868
"99","2",18,25506
"100","2",19,54253
"101","2",20,47836
"102","2",21,27626
"103","2",22,15524
"104","2",23,10422
"105","2",24,1919
"106","2",25,4926
"107","2",26,10846
"108","2",27,3805
"109","2",28,2507
"110","2",29,8878
"111","2",30,1900
"112","2",31,3
"113","2",35,1
"114","2",36,1
"115","2",37,2
"116","2",38,3
"117","2",39,1
"118","2",40,1
"119","2",41,1
"120","2",42,4
"121","2",43,39
"122","2",44,860
"123","2",45,6427
"124","2",46,3735
"125","2",47,8893
"126","2",48,3137
"127","2",49,4286
"128","2",50,4522
"129","2",51,1050
"130","2",52,7422
"131","2",53,8431
"132","2",54,6147
"133","2",55,1608
"134","2",56,2730
"135","2",57,2663
"136","2",58,937
"137","2",59,58
"138","2",60,18
"139","2",63,1
"140","2",75,7
"141","2",76,3
"142","2",77,1
"143","2",79,6
"144","2",81,1
"145","2",82,4
"146","2",83,2
"147","2",85,2
"148","2",88,1
"149","2",107,1
"150","2",110,1
"151","2",114,1
"152","2",117,1
"153","2",120,2
"154","2",122,1
"155","2",125,1
"156","2",144,3
"157","2",NA,358
"158","3",1,1
"159","3",2,1
"160","3",4,6
"161","3",5,179
"162","3",6,642
"163","3",7,59
"164","3",8,110
"165","3",9,42
"166","3",10,33
"167","3",11,1202
"168","3",12,4362
"169","3",13,8472
"170","3",14,8419
"171","3",15,11035
"172","3",16,11256
"173","3",17,55706
"174","3",18,12914
"175","3",19,30052
"176","3",20,27104
"177","3",21,14509
"178","3",22,8397
"179","3",23,5231
"180","3",24,874
"181","3",25,2855
"182","3",26,5653
"183","3",27,1953
"184","3",28,1095
"185","3",29,3859
"186","3",30,878
"187","3",37,2
"188","3",38,2
"189","3",41,3
"190","3",42,2
"191","3",43,27
"192","3",44,438
"193","3",45,3273
"194","3",46,1715
"195","3",47,3440
"196","3",48,1414
"197","3",49,2318
"198","3",50,2519
"199","3",51,588
"200","3",52,4493
"201","3",53,3684
"202","3",54,5937
"203","3",55,719
"204","3",56,1426
"205","3",57,1209
"206","3",58,651
"207","3",59,10
"208","3",60,5
"209","3",76,2
"210","3",77,2
"211","3",78,1
"212","3",79,3
"213","3",81,1
"214","3",82,1
"215","3",85,1
"216","3",90,1
"217","3",114,1
"218","3",120,1
"219","3",122,2
"220","3",NA,111
